Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points 185,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
Gives +1 resource if at a Wilderness.,Common Earth Unit,Flickering Melai,,Unit,Elemental Nymph,Earth,0,1,"At the beginning of your turn, if Flickering Melai is on an Earth territory, it adds {1} to your mana supply. ^(Whenever an attack or damage roll is made against a unit with 0 Defense, it is killed immediately.)^",0,0,,,"ßß^""Even the mightiest tree starts as the smallest of seeds. So it is with empires and the power these creatures hold.""ß— Sarien, Lord of the Branched Throne^",E,1,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E001,25,025-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E001",,,,,,,,,,,,,4,4
"Restore the defense of target unit7/3/17: Changed to Horizon Scout",Common Earth Unit,Horizon Scout,,Unit,Elf Ranger,Earth,1,1,"When you summon Horizon Scout to a Wilderness, draw a card.",1,1,,,,E,2,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E002,blessed2,prime-blessed2-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E002",,,,,,,,,,,,,4,4
Costs 1 less if summoned at a Wilderness.,Common Earth Unit,Awakened Sage,,Unit,Elf Druid,Earth,2,1,,1,3,,,ßß^All her life she roamed the forests in search of meaning. Then it came...^,E,3,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E003,guidance,prime-guidance-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E003",,,,,,,,,,,,,3,2
Search deck for a territory and reveal it draw it when it comes into play.,Common Earth Unit,Thylian Seer,,Unit,Elf Druid,Earth,3,1,"%Earth Explorer% ^(If this unit begins its turn on an Earth territory, it gets March +1 until the end of the turn.)^ßßWhen you summon Thylian Seer, you may search your deck for a basic territory card, reveal it and draw it. Then shuffle your deck.",2,2,,,ßß^Sarien's retinue of sages assured him of an unending empire.^,E,4,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E004,36,036-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E004",,,,,,,,,,,,,0,4
Something with Explorer,Common Earth Unit,Canopy Runner,,Unit,Beast,Earth,3,1,"%Earth Explorer% ^(If this unit begins its turn on an Earth territory, it gets March +1 until the end of the turn.)^ßßCanopy Runner has %Flying% if it is on an Earth territory ^(units with Flying may march into and out of spaces occupied by enemy units)^.",3,3,,,,E,5,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E005,beasts,prime-beasts-Earth.jpg,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E005",,,,,,,,,,,,,,
Large vanilla,Common Earth Unit,Razorfang Pack,,Unit,Wolf,Earth,4,2,"Pay {2}: Razorfang Pack gains %Aggressive% until the end of the turn ^(this unit may march, charge or attack the turn you summon it)^.",5,4,,,"ßß^Few consider their victims to be unfortunate, as the haunting howl of the pack can be heard from every edge of the Inzaru Wilds.^",E,6,Common,0,dedication_Earth_2.png,Common.png,frame_Unit_Earth.psd,E006,18,018-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E006",,,,,,,,,,,,,0,0
Large vanilla,Common Earth Unit,Hunting Wyrm,,Unit,Wyrm,Earth,6,2,,6,5,,,^Only the strongest Inzaru Rangers hunt with a pack of Wyrms.^,E,7,Common,0,dedication_Earth_2.png,Common.png,frame_Unit_Earth.psd,E007,6,006-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E007",,,,,,,,,,,,,0,0
Resilient 2/2,Uncommon Earth Unit,Sarien's Guard,,Unit,Human Elf Warrior,Earth,3,1,%Resilient% ^(This unit does not suffer defense penalties.)^,2,3,,,"ßß^Posted at every border of Thylia, Sarien's guards keep the city-haven tirelessly protected.^",E,8,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E008,1,001-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E008",,,,,,,,,,,,,0,0
3/2 Resilient Aggressive,Uncommon Earth Unit,Stonehide Rhino,,Unit,Beast,Earth,3,2,"%Aggressive% ^(This unit may march, charge or attack the turn you summon it.)^ßßPay {2}: Stonehide Rhino gains %Resilient% until the end of the turn ^(Resilient units do not suffer defense penalties)^.",3,2,,,,E,9,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Unit_Earth.psd,E009,19,019-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E009",,,,,,,,,,,,,4,0
Large-butt defender,Uncommon Earth Unit,Stone Sentinel,,Unit,Elemental Spirit,Earth,3,1,,0,4,,,^The Watchers maintain the peace in Thylia through unyielding vigilance.^,E,10,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E010,15,015-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E010",,,,,,,,,,,,,,
Something with Explorer on Deserts,Uncommon Earth Unit,Fallowbane,,Unit,Elf Warrior,Earth,4,1,"%Air & Fire Explorer% ^(If this unit begins its turn on an Air or Fire territory, it gets March +1 until the end of the turn.)^",4,4,,,"ßß^Where savagery precedes, renewal follows.^",E,11,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E011,17,017-Prime-Earth.png,Prime,_,Prime.png,"© & ™ 2017 Arcane Arts, LLC. All Rights Reserved. Prime _ _ - E011",,,,,,,,,,,,,,
