Card Concept,Card Element/Type/Slot,Name,Supertype,Type,Subtype,Element,Cost,Dedication,Text,Strength,Defense,Mana,Territory Defense,Flavor Text,Element ID,Card Number,Rarity,Deckbuilding Points,@dedication_image,@rarity_icon,@frame,Card ID,Art ID,@card_image,Set,Subset,@set_symbol,Copyright Text,Landscape Name,Supertype,Type,Subtype,Landscape Text,Landscape Flavor Text,@Landscape_Dedication,Landscape Mana,Landscape Defense,@rarity_icon_landscape,@image_landscape,Landscape Copyright Text,Ben's Rating,Dan's Rating
"Cycle- if charmed, gets a bonus",Common Earth Unit,Thylian Nymph,,Unit,Nymph,Earth,1,1,"If Thylian Nymph is charmed, it gets +1/+1 and gains %Flying%. ^(Flying units may move into and out of spaces occupied by enemy units.)^",1,1,,,,E,1,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E1,25,025-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E1",,,,,,,,,,,,,,
Sacrifice unit to destroy a charm.,Common Earth Unit,Greatheart Dispeller,,Unit,Human Druid,Earth,1,1,Sacrifice Greatheart Dispeller: Destroy target charm.,1,1,,,§§^The order of Greatheart was formed as a defense against the dark magics created by the Cult of Ix.^,E,2,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E2,7,007-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E2",,,,,,,,,,,,,,
"When this unit dies or wins an attack, target unit gets +1/+1 until the end of the turn.",Common Earth Unit,Viridian Initiate,,Unit,Human Druid,Earth,2,1,"%Persecuted% Ñ When Viridian Initiate wins an attack or dies, target unit you control gets +1/+1 until the end of the turn.",2,1,,,"§§^""By my life or by my death, I will live in truth.""§Ñ Maralee, Viridian Initiate^",E,3,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E3,36,036-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E3",,,,,,,,,,,,,,
"When this unit enters the battlefield or wins an attack, you may put a Wilderness from your hand into play. (Speaker)",Common Earth Unit,Speaker of Propagation,,Unit,Elf Cleric,Earth,4,2,"%Hallowed% ÑÊWhen you summon Speaker of Propagation or he wins an attack, you may put a Wilderness from your hand onto the battlefield.",1,2,,,,E,4,Common,0,dedication_Earth_2.png,Common.png,frame_Unit_Earth.psd,E4,19,019-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E4",,,,,,,,,,,,,,
Ranged and rally,Common Earth Unit,Sureshot Archer,,Unit,Elf Archer,Earth,4,1,%Ranged%§§%Rally% {2} ^(You may pay {2} to advance or attack against the same unit again after failing an attack. A unit may Rally only once per turn.)^,2,1,,,§§^Archers of the Onari forest often fire a warning shot into their victims as a ward to the next intruder.^,E,5,Common,0,dedication_Earth_1.png,Common.png,frame_Unit_Earth.psd,E5,18,018-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E5",,,,,,,,,,,,,,
"Aggressive, damage +2, guard +2",Common Earth Unit,Rekkadon,,Unit,Dinosaur,Earth,7,3,"%Aggressive% ^(This unit can move, attack or advance the turn you summon it.)^§§%Damage +2% ^(Add +2 to this unit's attack rolls.)^§§%Guard +2% ^(Add +2 to this unit's defense rolls.)^",5,4,,,,E,6,Common,0,dedication_Earth_3.png,Common.png,frame_Unit_Earth.psd,E6,6,006-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E6",,,,,,,,,,,,,,
Gravebond - deplete target unit an enemy controls whenever a card is removed from a discard pile.,Uncommon Earth Unit,Ashblower,,Unit,Elf Druid,Earth,1,1,"%Gravebond% Ñ Whenever a card leaves your discard pile, you may pay {1}. If you do, deplete target enemy unit.",1,2,,,,E,7,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E7,1,001-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E7",,,,,,,,,,,,,,
"Resilient, when this unit cip or wins an attack, you may destroy target hex, charm or strategy (Confessor).",Uncommon Earth Unit,Thylian Confessor,,Unit,Human Cleric,Earth,3,1,"%Resilient% ^(This unit does not suffer defense penalties.)^§§%Hallowed% Ñ When you summon Thylian Confessor or wins an attack, you may destroy target charm or relic.",2,2,,,"§§^The liar bends the truth, but the wheel bends the liar.^",E,8,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E8,19,019-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E8",,,,,,,,,,,,,,
"Whenever you play a charm, draw a card.",Uncommon Earth Unit,Wandering Enchantress,,Unit,Human Wizard,Earth,4,2,"%Movement +1%§§Whenever you play a charm, draw a card.",1,3,,,,E,9,Uncommon,1,dedication_Earth_2.png,Uncommon.png,frame_Unit_Earth.psd,E9,15,015-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E9",,,,,,,,,,,,,,
Rescue unit with strength and defense equal to the number of units you control.,Uncommon Earth Unit,Awakening Ent,,Unit,Ent Warrior,Earth,4,1,"%Rescue% {6}{E} ^(Put this unit into play in the same space as a unit you control that is being attacked, and assign the attacking unit to this. Play this ability only if you control an Earth territory.)^§§Awakening Ent has Strength and Defense equal to the number of units you control.",*,*,,,,E,10,Uncommon,1,dedication_Earth_1.png,Uncommon.png,frame_Unit_Earth.psd,E10,17,017-Prime-Earth.png,Witchhunt,,Witchhunt.png,"© & ª 2016 Arcane Arts, LLC. All Rights Reserved. Witchhunt - E10",,,,,,,,,,,,,,
